3996,LEAB,medium_airport,Albacete-Los Llanos Airport,38.9485015869,-1.8635200262099998,2302,EU,ES,ES-CM,Albacete,yes,LEAB,ABC,0,,http://www.aena.es/csee/Satellite?cid=1046767815090&pagename=subHome&Language=EN_GB&SiteName=LEAB&c=Page,http://en.wikipedia.org/wiki/Albacete_Airport,Los Llanos Air Base
5130,OIAA,medium_airport,Abadan Airport,30.371099472,48.2282981873,10,AS,IR,IR-10,Abadan,yes,OIAA,ABD,0,,,http://en.wikipedia.org/wiki/Abadan_Airport,
3356,KABE,medium_airport,Lehigh Valley International Airport,40.652099609375,-75.44080352783203,393,NA,US,US-PA,Allentown,yes,KABE,ABE,0,ABE,,http://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,
30611,NGAB,small_airport,Abaiang Airport,1.798609972000122,173.04100036621094,,OC,KI,KI-G,Abaiang,no,NGAB,ABF,0,,,,
27311,YABI,small_airport,Abingdon Downs Airport,-17.616699218799997,143.167007446,,OC,AU,AU-QLD,,no,YABI,ABG,0,,,,
26890,YAPH,medium_airport,Alpha Airport,-23.646099090576172,146.58399963378906,1255,OC,AU,AU-QLD,,no,YAPH,ABH,0,,,,
3357,KABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791,NA,US,US-TX,Abilene,yes,KABI,ABI,0,ABI,,http://en.wikipedia.org/wiki/Abilene_Regional_Airport,
2096,DIAP,medium_airport,Port Bouet Airport,5.261390209197998,-3.9262900352478027,21,AF,CI,CI-01,Abidjan,yes,DIAP,ABJ,0,,,http://en.wikipedia.org/wiki/Port_Bouet_Airport,Félix Houphouët-Boigny International Airport
30612,HAKD,small_airport,Kabri Dehar Airport,6.734000205993652,44.25299835205078,1800,AF,ET,ET-SO,Kabri Dehar,yes,HAKD,ABK,0,,,,Kabri Dar
5363,PAFM,medium_airport,Ambler Airport,67.106300354,-157.856994629,334,NA,US,US-AK,Ambler,no,PAFM,ABL,0,AFM,,http://en.wikipedia.org/wiki/Ambler_Airport,
26898,YBAM,small_airport,Northern Peninsula Airport,-10.9508,142.459,34,OC,AU,AU-QLD,Bamaga,yes,YNPE,ABM,0,,,http://en.wikipedia.org/wiki/Bamaga_Airport,"YBAM, Bamaga Airport, Bamaga Injinoo Airport"
41505,SMBN,small_airport,Albina Airport,5.512720108032227,-54.05009841918945,19,SA,SR,SR-MA,Albina,no,SMBN,ABN,0,,,,
